"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"RothC",5,51,"5_51",NA,NA,NA,0.1557,10.24840535,NA,-16.5789557,NA,6.76085,NA,NA,0.01024840535,-0.0165789557,-0.5709,4.39656589515,-0.5968424052,"RR50-CR",3.22882348995
"APSIM",5,52,"5_52",NA,NA,NA,-0.4,10.23722,0.0371456551724132,-16.3869477,NA,4.6,-0.30643076923079,-0.306797826086921,0.01023722,-0.0163869477,1.46666666666667,4.39176738,-0.5899301172,"RR25-CR",5.26850392946667
"Daycent",5,52,"5_52",NA,NA,NA,1.4,11.5495871,0.0185827406896555,-16.3869477,-0.0118333155555599,9.4,0.540567111111109,0.69426235897437,0.0115495871,-0.0163869477,-5.13333333333333,4.9547728659,-0.5899301172,"RR25-CR",-0.768490584633333
"RothC",5,52,"5_52",NA,NA,NA,0.22825,10.89340355,NA,-16.3869477,NA,6.8963,NA,NA,0.01089340355,-0.0163869477,-0.836916666666667,4.67327012295,-0.5899301172,"RR25-CR",3.24642333908333
"APSIM",5,53,"5_53",NA,NA,NA,-0.5,12.42408,0.0285079999999989,-15.71636664,NA,5.6,-0.476984615384637,-0.275282608695615,0.01242408,-0.01571636664,1.83333333333333,5.32993032,-0.56578919904,"RR00-CR",6.59747445429333
"Daycent",5,53,"5_53",NA,NA,NA,0.899999999999999,11.7275162,0.0579275420689673,-15.71636664,0.00673407065133719,8.9,0.76998155555556,0.900270085470098,0.0117275162,-0.01571636664,-3.3,5.0311044498,-0.56578919904,"RR00-CR",1.16531525076
"RothC",5,53,"5_53",NA,NA,NA,0.3535,12.0757981,NA,-15.71636664,NA,7.08425,NA,NA,0.0120757981,-0.01571636664,-1.29616666666667,5.1805173849,-0.56578919904,"RR00-CR",3.31856151919333
"APSIM",5,54,"5_54",NA,NA,NA,-0.3,8.75812,0.0186506206896554,-16.0269371289,NA,4.2,-0.176676923076942,-0.346804347826055,0.00875812,-0.0160269371289,1.1,3.75723348,-0.5769697366404,"RR50-NT-CR",4.2802637433596
"Daycent",5,54,"5_54",NA,NA,NA,3.5,9.5075194,0.0252643820689648,-16.0269371289,-0.021294461064373,11.5,0.398715000000003,0.347387145299152,0.0095075194,-0.0160269371289,-12.8333333333333,4.0787258226,-0.5769697366404,"RR50-NT-CR",-9.33157724737373
"RothC",5,54,"5_54",NA,NA,NA,0.0349000000000004,9.1328197,NA,-16.0269371289,NA,6.31315,NA,NA,0.0091328197,-0.0160269371289,-0.127966666666668,3.9179796513,-0.5769697366404,"RR50-NT-CR",3.21304324799293
"APSIM",5,55,"5_55",NA,NA,NA,-0.4,10.24143,0.0175882758620685,-15.690508113,NA,5.3,-0.147784615384637,-0.362440217391274,0.01024143,-0.015690508113,1.46666666666667,4.39357347,-0.564858292068,"RR25-NT-CR",5.29538184459867
"Daycent",5,55,"5_55",NA,NA,NA,4.1,9.4505026,0.0356208703448269,-15.690508113,-0.0166455783471313,12.1,0.447907666666673,0.409117059829068,0.0094505026,-0.015690508113,-15.0333333333333,4.0542656154,-0.564858292068,"RR25-NT-CR",-11.5439260100013
"RothC",5,55,"5_55",NA,NA,NA,0.0361000000000002,9.8459663,NA,-15.690508113,NA,6.2976,NA,NA,0.0098459663,-0.015690508113,-0.132366666666667,4.2239195427,-0.564858292068,"RR25-NT-CR",3.52669458396533
"APSIM",5,56,"5_56",NA,NA,NA,-0.699999999999999,12.52731,0.00978979310344757,-15.3409105575,NA,6.4,-0.387415384615412,-0.338624999999968,0.01252731,-0.0153409105575,2.56666666666666,5.37421599,-0.55227278007,"RR00-NT-CR",7.38860987659666
"Daycent",5,56,"5_56",NA,NA,NA,4.7,9.4817678,0.0469002537931033,-15.3409105575,-0.0101495163747172,12.7,0.485522888888894,0.454167042735058,0.0094817678,-0.0153409105575,-17.2333333333333,4.0676783862,-0.55227278007,"RR00-NT-CR",-13.7179277272033
"RothC",5,56,"5_56",NA,NA,NA,0.0378499999999997,11.0045389,NA,-15.3409105575,NA,6.2832,NA,NA,0.0110045389,-0.0153409105575,-0.138783333333332,4.7209471881,-0.55227278007,"RR00-NT-CR",4.02989107469667
"APSIM",5,61,"5_61",NA,NA,NA,-0.899999999999999,8.64059,0.0475979310344846,NA,NA,9.3,-0.155799999999999,0.0164615384615416,0.00864059,NA,3.3,3.70681311,NA,"BC19-CR",7.00681311
"APSIM",5,62,"5_62",NA,NA,NA,-1.5,8.58608,0.0515914482758644,NA,NA,13.5,-0.153499999999999,0.0268615384615447,0.00858608,NA,5.5,3.68342832,NA,"BC38-CR",9.18342832
"APSIM",5,63,"5_63",NA,NA,NA,-2.2,8.47313,0.0485820689655193,NA,NA,17.6,-0.16325,0.0107692307692393,0.00847313,NA,8.06666666666667,3.63497277,NA,"BC57-CR",11.7016394366667
"APSIM",5,64,"5_64",NA,NA,NA,-2.9,8.36614,0.0606968275862091,NA,NA,21.7,-0.136700000000001,-0.117415384615366,0.00836614,NA,10.6333333333333,3.58907406,NA,"BC76-CR",14.2224073933333
"APSIM",5,65,"5_65",NA,NA,NA,-3.8,8.44553,0.0749616551724148,NA,NA,25.8,-0.113200000000001,0.327384615384599,0.00844553,NA,13.9333333333333,3.62313237,NA,"BC96-CR",17.5564657033333
"APSIM",5,7,"5_7",NA,NA,NA,0.2,12.13759,0.0589379310344848,-16.01118022,NA,6.7,-0.18732413793103,NA,0.01213759,-0.01601118022,-0.733333333333333,5.20702611,-0.57640248792,"CN",3.89729028874667
"Daycent",5,7,"5_7",NA,NA,NA,-0.199999999999999,8.3925534,0.0452026786206911,-16.01118022,0.0013121937164719,7.6,0.484431938697327,NA,0.0083925534,-0.01601118022,0.73333333333333,3.6004054086,-0.57640248792,"CN",3.75733625401333
"RothC",5,7,"5_7",NA,NA,NA,-0.17905,10.2650717,NA,-16.01118022,NA,5.96195,NA,NA,0.0102650717,-0.01601118022,0.656516666666667,4.4037157593,-0.57640248792,"CN",4.48382993804667
"APSIM",5,8,"5_8",NA,NA,NA,-0.5,12.03202,0.00647213793103629,-15.8933902821,NA,6,-0.161300000000001,-0.414676923076907,0.01203202,-0.0158933902821,1.83333333333333,5.16173658,-0.5721620501556,"CC-NT-CR",6.42290786317773
"Daycent",5,8,"5_8",NA,NA,NA,4.5,8.6817779,0.0283253848275863,-15.8933902821,-0.0126612340069012,12.7,0.409756888888893,0.451977572649582,0.0086817779,-0.0158933902821,-16.5,3.7244827191,-0.5721620501556,"CC-NT-CR",-13.3476793310556
"RothC",5,8,"5_8",NA,NA,NA,0.0603500000000006,10.35689895,NA,-15.8933902821,NA,6.4862,NA,NA,0.01035689895,-0.0158933902821,-0.221283333333336,4.44310964955,-0.5721620501556,"CC-NT-CR",3.64966426606106
