"year","crop","treatment_scen","Model","yield_val"
1985,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.9606302680462
1985,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1985,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1986,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.59819649413184
1986,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1986,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1987,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.593020431222
1987,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1987,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1988,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.73894798795744
1988,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1988,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1989,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.27865256220348
1989,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1989,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1990,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.2919668927005
1990,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1990,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1991,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.81856224990898
1991,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1991,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1992,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",3.39459660844584
1992,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1992,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1993,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.80346223150718
1993,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1993,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1994,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.43468704131104
1994,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1994,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1995,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.0254405289097
1995,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1995,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1996,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.34490122553903
1996,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1996,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1997,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.14357132233619
1997,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1997,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1998,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.13911494252242
1998,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1998,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1999,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.03438113703636
1999,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1999,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2000,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.24372753928469
2000,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2000,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2001,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.4013539592371
2001,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2001,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2002,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.85977949799579
2002,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2002,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2003,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.97863295598029
2003,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.612
2003,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2005,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2005,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.118
2005,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.21877111111111
2007,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2007,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.117
2007,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",0.345944444444444
2009,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2009,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.245
2009,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",0.63722
2012,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2012,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.555
2012,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.44976222222222
2014,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2014,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.881
2014,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.18166444444444
2016,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2016,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.5
2016,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.51788444444444
2018,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2018,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",0.864
