"Model","Climate_Scenario","component","CC-CR","RF05-CR","RF15-CR","RF25-CR","RF35-CR","RR00-CR","RR00-NT-CR","RR25-CR","RR25-NT-CR","RR50-CR","RR50-NT-CR","component_order"
"Daycent",5,"WFPS_2cm_last",0.459480612115514,0.44982196452319,0.449621780390336,0.449504654359028,0.449236130839942,0.449876325489121,0.440446953752987,0.443560328940293,0.43687001866966,0.442125385521923,0.433638457562155,NA
"Daycent",5,"WFPS_5cm_last",0.510363304071162,0.484086899043707,0.484003032715173,0.483745581692231,0.483818945017159,0.484258387866587,0.472230109706312,0.480638771436645,0.471331727848647,0.480364178698652,0.469603189062295,NA
"Daycent",5,"WFPS_10cm_last.1",0.493299758580576,0.471352550903249,0.471289127548657,0.471255508082591,0.471212742474871,0.471318303427909,0.461438497178887,0.47014266522251,0.460973888734692,0.470209951018664,0.461001220497024,NA
"Daycent",5,"WFPS_10cm_change",-0.0859002845573708,-0.0869453183609398,-0.086992758026114,-0.0869886533647261,-0.0870251240570709,-0.0867006984027938,-0.0887498019783826,-0.086495861132035,-0.0852525813252467,-0.085056974555153,-0.0837587713555649,NA
"Daycent",5,"CH4_change",0.0218686724122536,0.036640248465977,0.0367615986607675,0.0369090110700851,0.0370419413163617,0.0364645766968483,0.0483013422438696,0.0361049804555013,0.0451513005546803,0.0358003109168232,0.0439692351025408,NA
"Daycent",5,"SoilT_2cm_change",3.6537222927661,3.4693407185006,3.48115862064539,3.4943715476247,3.50511557591502,3.4522466692258,3.84605899056741,3.68428295272985,3.98556177011419,3.79117977713161,4.13886011768026,NA
"Daycent",5,"SoilT_5cm_change",3.56350983916206,3.30556825401244,3.31809456659891,3.33119273958284,3.34206777038198,3.28841653148026,3.74479015705102,3.53016688880381,3.88658939894062,3.64373238840211,4.04306262999755,NA
"Daycent",5,"SoilT_10cm_change",3.4184113395468,3.04145472213828,3.05409090695047,3.06726418725224,3.07819600735302,3.02379140067956,3.58337734842499,3.27994495880738,3.72796860735455,3.40325962813629,3.8880534231409,NA
"Daycent",5,"WFPS_2cm_change",-0.0931289089006728,-0.0979650597175812,-0.0982197004789169,-0.0980770098542258,-0.0984342438437479,-0.0976132445933168,-0.108438601228542,-0.0968598161067638,-0.105755081157855,-0.0972174944646963,-0.105501840423148,NA
"Daycent",5,"WFPS_5cm_change",-0.0870605507661284,-0.0808356061233847,-0.0808422775021345,-0.0813953251432261,-0.0811059868420285,-0.0806730080453434,-0.089165746029667,-0.0800048100674414,-0.0853545595983163,-0.0789671576622026,-0.0843416154545265,NA
"Daycent",5,"WFPS_10cm_change.1",-0.0859002845573708,-0.0869453183609398,-0.086992758026114,-0.0869886533647261,-0.0870251240570709,-0.0867006984027938,-0.0887498019783826,-0.086495861132035,-0.0852525813252467,-0.085056974555153,-0.0837587713555649,NA
