"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"RothC",5,44,"5_44",NA,NA,NA,-2.7823,32.092851,NA,-10.216987625,NA,30.2269,NA,NA,0.032092851,-0.010216987625,10.2017666666667,13.767833079,-0.3678115545,"RF35-CR",23.6017881911667
"APSIM",5,51,"5_51",-6.19286111111086,0.458888888888879,-0.420452525252529,2.7,34.6833,0.860142482758631,-10.4092169,NA,35.4,NA,NA,0.0346833,-0.0104092169,-9.9,14.8791357,-0.3747318084,"RR50-CR",4.6044038916
"Daycent",5,51,"5_51",-3.0672372794613,-0.101205481481476,0.950197283950615,-3.7,40.1854511,-0.16270184413793,-10.4092169,-0.0198191919540252,33.9,NA,NA,0.0401854511,-0.0104092169,13.5666666666667,17.2395585219,-0.3747318084,"RR50-CR",30.4314933801667
"RothC",5,51,"5_51",NA,NA,NA,-2.8371,37.43437555,NA,-10.4092169,NA,30.1721,NA,NA,0.03743437555,-0.0104092169,10.4027,16.05934711095,-0.3747318084,"RR50-CR",26.08731530255
"APSIM",5,52,"5_52",-6.19258888888857,0.459199999999996,-0.627200000000002,3.2,38.06146,0.855780413793109,-10.35098255,NA,37.5,NA,NA,0.03806146,-0.01035098255,-11.7333333333333,16.32836634,-0.3726353718,"RR25-CR",4.22239763486666
"Daycent",5,52,"5_52",-2.98944316049386,-0.108883012345673,1.26421659259259,-2.6,40.3222042,-0.154105732413791,-10.35098255,-0.02043033007663,35,NA,NA,0.0403222042,-0.01035098255,9.53333333333333,17.2982256018,-0.3726353718,"RR25-CR",26.4589235633333
"RothC",5,52,"5_52",NA,NA,NA,-2.6845,39.1918321,NA,-10.35098255,NA,30.3247,NA,NA,0.0391918321,-0.01035098255,9.84316666666667,16.8132959709,-0.3726353718,"RR25-CR",26.2838272657667
"APSIM",5,53,"5_53",-4.97479279279275,0.301155555555546,-0.902052525252529,3.9,48.16332,0.938717793103453,-10.20363375,NA,40.9,NA,NA,0.04816332,-0.01020363375,-14.3,20.66206428,-0.367330815,"RR00-CR",5.994733465
"Daycent",5,53,"5_53",-2.87006888439956,-0.197387209876544,1.56242212345678,-2.2,37.6538291,-0.0643235517241321,-10.20363375,-0.0221193814176256,35.4,NA,NA,0.0376538291,-0.01020363375,8.06666666666667,16.1534926839,-0.367330815,"RR00-CR",23.8528285355667
"RothC",5,53,"5_53",NA,NA,NA,-2.5232,42.90857455,NA,-10.20363375,NA,30.486,NA,NA,0.04290857455,-0.01020363375,9.25173333333333,18.40777848195,-0.367330815,"RR00-CR",27.2921810002833
"APSIM",5,54,"5_54",-5.94618888888863,0.368666666666662,-0.531151515151521,2.4,34.1111,0.911602068965527,-12.13325685,NA,39.5,NA,NA,0.0341111,-0.01213325685,-8.8,14.6336619,-0.4367972466,"RR50-NT-CR",5.3968646534
"Daycent",5,54,"5_54",-3.76162936026935,-0.154434864197526,1.24524469135802,0.700000000000003,37.1497801,-0.129561113103449,-12.13325685,-0.024106758620693,45.7,NA,NA,0.0371497801,-0.01213325685,-2.56666666666668,15.9372556629,-0.4367972466,"RR50-NT-CR",12.9337917496333
