"year","Obs_sd","crop","treatment_scen","Model","yield_val"
1991,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",8.213
1991,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",8.31072666666667
1993,0.633050629886741,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",7.09
1993,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",8.028
1993,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",6.02382444444444
1996,0.990027019833297,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",4.041
1996,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",6.789
1996,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",3.91176444444444
1999,0.284180915967276,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",3.804
1999,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",7.268
1999,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",3.64757333333333
2002,0.376830103627616,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",5.221
2002,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",6.179
2002,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",6.13756888888889
2005,0.858893626514173,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",8.805
2005,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",6.319
2005,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",4.88773555555556
2008,0.475627456804868,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",6.516
2008,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",6.697
2008,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",6.32751555555556
2011,0.736637942728086,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",11.52
2011,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",7.965
2011,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",10.1988488888889
2014,0.456625193128894,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",11.437
2014,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",8.829
2014,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",9.09404666666667
2017,0.979473257759836,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",9.927
2017,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",7.649
2017,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",7.20249555555556
2020,0.646018590031794,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Observed",10.293
2020,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","APSIM",7.16
2020,NA,"Maize","Rmv Resid 0%, No Till, Crop Rotation","Daycent",10.4004066666667
1990,0.164235704603678,"Soybean","Rmv Resid 0%, No Till, Crop Rotation","Observed",2.973
1990,NA,"Soybean","Rmv Resid 0%, No Till, Crop Rotation","APSIM",2.428
1990,NA,"Soybean","Rmv Resid 0%, No Till, Crop Rotation","Daycent",2.08275555555556
1992,0.103902678823343,"Soybean","Rmv Resid 0%, No Till, Crop Rotation","Observed",2.219
1992,NA,"Soybean","Rmv Resid 0%, No Till, Crop Rotation","APSIM",1.314
